Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
1896,Aquatics,Swimming,"HAJOS, Alfred",Hungary,Men,100m freestyle,M,Gold
1896,Aquatics,Swimming,"HERSCHMANN, Otto",Austria,Men,100m freestyle,M,Silver
1896,Aquatics,Swimming,"DRIVAS, Dimitrios",Greece,Men,100m freestyle for sailors,M,Bronze
1896,Aquatics,Swimming,"MALOKINIS, Ioannis",Greece,Men,100m freestyle for sailors,M,Gold
1896,Aquatics,Swimming,"CHASAPIS, Spiridon",Greece,Men,100m freestyle for sailors,M,Silver
1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",Greece,Men,1200m freestyle,M,Bronze
1896,Aquatics,Swimming,"HAJOS, Alfred",Hungary,Men,1200m freestyle,M,Gold
1896,Aquatics,Swimming,"ANDREOU, Joannis",Greece,Men,1200m freestyle,M,Silver
1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",Greece,Men,400m freestyle,M,Bronze
1896,Aquatics,Swimming,"NEUMANN, Paul",Austria,Men,400m freestyle,M,Gold
1896,Aquatics,Swimming,"PEPANOS, Antonios",Greece,Men,400m freestyle,M,Silver
1896,Athletics,Athletics,"LANE, Francis",United States,Men,100m,M,Bronze
1896,Athletics,Athletics,"SZOKOLYI, Alajos",Hungary,Men,100m,M,Bronze
1896,Athletics,Athletics,"BURKE, Thomas",United States,Men,100m,M,Gold
1896,Athletics,Athletics,"HOFMANN, Fritz",Germany,Men,100m,M,Silver
1896,Athletics,Athletics,"CURTIS, Thomas",United States,Men,110m hurdles,M,Gold
1896,Athletics,Athletics,"GOULDING, Grantley",United Kingdom,Men,110m hurdles,M,Silver
1896,Athletics,Athletics,"LERMUSIAUX, Albin",France,Men,1500m,M,Bronze
1896,Athletics,Athletics,"FLACK, Edwin",Australia,Men,1500m,M,Gold
1896,Athletics,Athletics,"BLAKE, Arthur",United States,Men,1500m,M,Silver
1896,Athletics,Athletics,"GMELIN, Charles",United Kingdom,Men,400m,M,Bronze
1896,Athletics,Athletics,"BURKE, Thomas",United States,Men,400m,M,Gold
1896,Athletics,Athletics,"JAMISON, Herbert",United States,Men,400m,M,Silver
1896,Athletics,Athletics,"GOLEMIS, Dimitrios",Greece,Men,800m,M,Bronze
1896,Athletics,Athletics,"FLACK, Edwin",Australia,Men,800m,M,Gold
1896,Athletics,Athletics,"DANI, Nandor",Hungary,Men,800m,M,Silver
1896,Athletics,Athletics,"VERSIS, Sotirios",Greece,Men,discus throw,M,Bronze
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,discus throw,M,Gold
1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Greece,Men,discus throw,M,Silver
1896,Athletics,Athletics,"CLARK, Ellery",United States,Men,high jump,M,Gold
1896,Athletics,Athletics,"CONNOLLY, James",United States,Men,high jump,M,Silver
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,high jump,M,Silver
1896,Athletics,Athletics,"CONNOLLY, James",United States,Men,long jump,M,Bronze
1896,Athletics,Athletics,"CLARK, Ellery",United States,Men,long jump,M,Gold
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,long jump,M,Silver
1896,Athletics,Athletics,"KELLNER, Gyula",Hungary,Men,marathon,M,Bronze
1896,Athletics,Athletics,"LOUIS, Spyridon",Greece,Men,marathon,M,Gold
1896,Athletics,Athletics,"VASILAKOS, Kharilaos",Greece,Men,marathon,M,Silver
1896,Athletics,Athletics,"DAMASKOS, Evangelos",Greece,Men,pole vault,M,Bronze
1896,Athletics,Athletics,"THEODOROPOULOS, Ioannis",Greece,Men,pole vault,M,Bronze
1896,Athletics,Athletics,"HOYT, William Welles",United States,Men,pole vault,M,Gold
1896,Athletics,Athletics,"TYLER, Albert",United States,Men,pole vault,M,Silver
1896,Athletics,Athletics,"PAPASIDERIS, Georgios",Greece,Men,shot put,M,Bronze
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,shot put,M,Gold
1896,Athletics,Athletics,"GOUSKOS, Miltiadis",Greece,Men,shot put,M,Silver
1896,Athletics,Athletics,"PERSAKIS, Ioannis",Greece,Men,triple jump,M,Bronze
1896,Athletics,Athletics,"CONNOLLY, James",United States,Men,triple jump,M,Gold
1896,Athletics,Athletics,"TUFFERI, Alexandre",France,Men,triple jump,M,Silver
1896,Cycling,Cycling Road,"BATTEL, Edward",United Kingdom,Men,individual road race,M,Bronze
1896,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Greece,Men,individual road race,M,Gold
1896,Cycling,Cycling Road,"GOEDRICH, August",Germany,Men,individual road race,M,Silver
1896,Cycling,Cycling Track,"FLAMENG, L?on",France,Men,100km,M,Gold
1896,Cycling,Cycling Track,"KOLETTIS, Georgios",Greece,Men,100km,M,Silver
1896,Cycling,Cycling Track,"SCHMAL, Adolf",Austria,Men,10km,M,Bronze
1896,Cycling,Cycling Track,"MASSON, Paul",France,Men,10km,M,Gold
